Componente,Categoria,Qntd
LED Branco 5mm Difuso,Iluminação,10
LED Vermelho 5mm Difuso,Iluminação,6
Resistor 220Ω,Resistor,18
Chave Táctil,Botões,19
Chave Táctil Emborrachada,Botões,4
"LED Amarelo 5mm Difuso ",Iluminação,9
LED Verde 5mm Difuso,Iluminação,10
LED Azul 5mm Difuso,Iluminação,10
Resistor 47Ω,Resistor,15
Resistor 10KΩ,Resistor,19
Resistor 100KΩ,Resistor,20
Resistor 330Ω,Resistor,20
Resistor 100Ω,Resistor,100
Resistor 150Ω,Resistor,100
LED RGB 5mm Difuso,Iluminação,2
Chave Táctil Vermelha,Botões,10
Chave SS 2 Posições SK22G50,Botões,3
Display LCD 16x2,Display,1
Arduino Nano V3.0 ATmega328 5V,Placa,1
Módulo Buzzer Ativo P15,Som,1
Real Time Clock RTC DS1307,Outros,1
Potenciômetro Linear 10K,Potenciômetro,3
Módulo Emissor Infravermelho,Infravermelho,1
Sensor de Frequência Cardíaca,Sensores,1
Knob Verde para Potenciômetro,Partes,3
Potenciômetro Linear 100K,Potenciômetro,2
Knob Laranja para Potenciômetro,Partes,3
Knob Azul para Potenciômetro,Partes,2
Sensor de Obstáculo Infravermelho,"Infravermelho, Sensores",2
Transistor C945 NPN,Transistor,10
Sensor de Luminosidade LDR 5mm,"Luminosidade, Sensores",13
Módulo Sensor de Luminosidade LDR,"Luminosidade, Sensores",1
Sensor de Temperatura LM35DZ,"Sensores, Temperatura",1
Sensor de Cor RGB TCS34725 com Filtro IR,Sensores,
Módulo Relé 5V 1 canal,Relé,2
Módulo Relé 5V 2 canais,Relé,1
Módulo Cartão SD,Armazenamento de Dados,1
Dioso Laser 5mW 5V,Iluminação,1
"Cartão RFID Programável Mifare 13,56MHz","RFID, Wireless e IoT",8
"Tag Chaveiro RFID Programável Mifare 13,56MHz","RFID, Wireless e IoT",1
"Módulo Leitor Rfid MFRC522 Mifare 13,56MHz","RFID, Wireless e IoT",1
Sensor de Umidade e Temperatura AM3202 DHT22,"Sensores, Temperatura, Umidade",1
Sensor de Temperatura a Prova D’água DS18B20,"Sensores, Temperatura",2
Módulo ESP8266 ESP-12E CH340G NodeMCU,"Placa, Wireless e IoT",1
Módulo Matriz de LED 8×8 com MAX7219,"Display, Iluminação",1
Sensor de Distância Ultrassônico HC-SR04,"Distância, Sensores",2
Módulo Transmissor Rádio Frequência 433MHz AM,"Radio Frequência, Wireless e IoT",1
Display LED Matriz de LED 8x8 Bicolor (Verde/Vermelho),Iluminação,1
Módulo Sensor de Presença e Movimento PIR DYP-ME003,"Presença, Sensores",1
Display 7 Segmentos 1 Dígito Vermelho Cátodo Comum CD4511,"Display, Iluminação",2
Controle Remoto Infravermelho 38KHz,Infravermelho,1
Módulo Receptor Infravermelho KY-022 38KHz,Infravermelho,1
Módulo Receptor Rádio Frequência 433MHz AM,"Radio Frequência, Wireless e IoT",1
Sensor de Chuva,"Chuva, Sensores",1
Sensor de Pressão e Temperatura BMP280,"Pressão, Sensores, Temperatura",1
Receptor Infravermelho VS1838B 38Khz,Infravermelho,1
"Sensor de Som Microfone KY-038 ","Sensores, Som",1
Display LCD Nokia 5110,Display,1
Sensor Touch Capacitivo TTP223B,Sensores,1
Sensor de Umidade do Solo Higrômetro,"Sensores, Umidade",1
Arduino Uno R3,Placa,1
Protoboard 400 Pontos,Prototipagem,1
Protoboard 830 Pontos,Prototipagem,2
Cabo USB 2.0 AM para BM 50cm,Cabos,1
Cabo USB 2.0 AM para BM 180cm,Cabos,1
Cabo USB Mini,Cabos,1
Pinos 180° macho macho,Partes,104
Pinos 90° macho macho,Partes,128
Jumper macho macho 22cm,Jumpers,34
Jumper macho macho 25cm,Jumpers,4
Jumper macho macho 20cm,Jumpers,4
Jumper macho macho 16cm,Jumpers,7
Jumper macho macho 12cm,Jumpers,31
Jumper fêmea fêmea 20cm,Jumpers,50
Jumper macho fêmea 21cm,Jumpers,80
Micro Servo 9g SG90,Motor,2
"Módulo Diodo Laser 5mW 5V 650nm 6mm ",Iluminação,1
LED Azul 5mm Cristalino,Iluminação,10
LED Vermelho 5mm Cristalino,Iluminação,10
LED Verde 5mm Cristalino,Iluminação,10
LED Rosa 5mm Cristalino,Iluminação,10
LED Branco 5mm Cristalino,Iluminação,10
LED Amarelo 5mm Cristalino,Iluminação,10
LED Laranja 5mm Cristalino,Iluminação,10
LED Ultra Violeta 5mm Cristalino,Iluminação,10
